          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
  214.000     1     1     1.0    100  21400 |  100 21401    0.0510    0.0005    0.0005 |
  215.000     1     1     1.0    100  21500 |  100 21501    0.0510    0.0005    0.0005 |
  216.000     1     1     1.0    100  21600 |  100 21601    0.0502    0.0005    0.0005 |
  217.000     1     1     1.0    100  21700 |  100 21701    0.0508    0.0005    0.0005 |
  218.000     1     1     1.0    100  21800 |  100 21801    0.0501    0.0005    0.0005 |
  219.000     1     1     1.0    100  21900 |  100 21901    0.0502    0.0005    0.0005 |
  220.000     1     1     1.0    100  22000 |  100 22001    0.0507    0.0005    0.0005 |
  221.000     1     1     1.0    100  22100 |  100 22101    0.0509    0.0005    0.0005 |
  222.000     1     1     1.0    100  22200 |  100 22201    0.0508    0.0005    0.0005 |
  223.000     1     1     1.0    100  22300 |  100 22301    0.0510    0.0005    0.0005 |
  224.000     1     1     1.0    100  22400 |  100 22401    0.0500    0.0005    0.0005 |
  225.000     1     1     1.0    100  22500 |  100 22501    0.0504    0.0005    0.0005 |
  226.000     1     1     1.0    100  22600 |  100 22601    0.0510    0.0005    0.0005 |
  227.000     1     1     1.0    100  22700 |  100 22701    0.0503    0.0005    0.0005 |
  228.000     1     1     1.0    100  22800 |  100 22801    0.0506    0.0005    0.0005 |
  229.000     1     1     1.0    100  22900 |  100 22901    0.0506    0.0005    0.0005 |
  230.000     1     1     1.0    100  23000 |  100 23001    0.0504    0.0005    0.0005 |
  231.000     1     1     1.0    100  23100 |  100 23101    0.0517    0.0005    0.0005 |
  232.000     1     1     1.0    100  23200 |  100 23201    0.0511    0.0005    0.0005 |
  233.000     1     1     1.0    100  23300 |  100 23301    0.0517    0.0005    0.0005 |
  234.000     1     1     1.0    100  23400 |  100 23401    0.0521    0.0005    0.0005 |
  235.000     1     1     1.0    100  23500 |  100 23501    0.0514    0.0005    0.0005 |
  236.000     1     1     1.0    100  23600 |  100 23601    0.0531    0.0005    0.0005 |
  237.000     1     1     1.0    100  23700 |  100 23701    0.0521    0.0005    0.0005 |
  238.000     1     1     1.0    100  23800 |  100 23801    0.0529    0.0005    0.0005 |
  239.000     1     1     1.0    100  23900 |  100 23901    0.0539    0.0005    0.0005 |
  240.000     1     1     1.0    100  24000 |  100 24001    0.0528    0.0005    0.0005 |
  241.000     1     1     1.0    100  24100 |  100 24101    0.0522    0.0005    0.0005 |
  242.000     1     1     1.0    100  24200 |  100 24201    0.0511    0.0005    0.0005 |
  243.000     1     1     1.0    100  24300 |  100 24301    0.0524    0.0005    0.0005 |
  244.000     1     1     1.0    100  24400 |  100 24401    0.0508    0.0005    0.0005 |
  245.000     1     1     1.0    100  24500 |  100 24501    0.0513    0.0005    0.0005 |
  246.000     1     1     1.0    100  24600 |  100 24601    0.0505    0.0005    0.0005 |
  247.000     1     1     1.0    100  24700 |  100 24701    0.0506    0.0005    0.0005 |
  248.000     1     1     1.0    100  24800 |  100 24801    0.0509    0.0005    0.0005 |
  249.000     1     1     1.0    100  24900 |  100 24901    0.0511    0.0005    0.0005 |
  250.000     1     1     1.0    100  25000 |  100 25001    0.0508    0.0005    0.0005 |
  251.000     1     1     1.0    100  25100 |  100 25101    0.0512    0.0005    0.0005 |
  252.000     1     1     1.0    100  25200 |  100 25201    0.0512    0.0005    0.0005 |
  253.000     1     1     1.0    100  25300 |  100 25301    0.0510    0.0005    0.0005 |
  254.000     1     1     1.0    100  25400 |  100 25401    0.0512    0.0005    0.0005 |
  255.000     1     1     1.0    100  25500 |  100 25501    0.0508    0.0005    0.0005 |
  256.000     1     1     1.0    100  25600 |  100 25601    0.0512    0.0005    0.0005 |
  257.000     1     1     1.0    100  25700 |  100 25701    0.0510    0.0005    0.0005 |
  258.000     1     1     1.0    100  25800 |  100 25801    0.0511    0.0005    0.0005 |
  259.000     1     1     1.0    100  25900 |  100 25901    0.0508    0.0005    0.0005 |
  260.000     1     1     1.0    100  26000 |  100 26001    0.0509    0.0005    0.0005 |
  261.000     1     1     1.0    100  26100 |  100 26101    0.0508    0.0005    0.0005 |
  262.000     1     1     1.0    100  26200 |  100 26201    0.0511    0.0005    0.0005 |
  263.000     1     1     1.0    100  26300 |  100 26301    0.0507    0.0005    0.0005 |
  264.000     1     1     1.0    100  26400 |  100 26401    0.0507    0.0005    0.0005 |
  265.000     1     1     1.0    100  26500 |  100 26501    0.0513    0.0005    0.0005 |
  266.000     1     1     1.0    100  26600 |  100 26601    0.0510    0.0005    0.0005 |
  267.000     1     1     1.0    100  26700 |  100 26701    0.0511    0.0005    0.0005 |
  268.000     1     1     1.0    100  26800 |  100 26801    0.0508    0.0005    0.0005 |
  269.000     1     1     1.0    100  26900 |  100 26901    0.0510    0.0005    0.0005 |
  270.000     1     1     1.0    100  27000 |  100 27001    0.0509    0.0005    0.0005 |
  271.000     1     1     1.0    100  27100 |  100 27101    0.0510    0.0005    0.0005 |
  272.000     1     1     1.0    100  27200 |  100 27201    0.0509    0.0005    0.0005 |
  273.000     1     1     1.0    100  27300 |  100 27301    0.0511    0.0005    0.0005 |
  274.000     1     1     1.0    100  27400 |  100 27401    0.0513    0.0005    0.0005 |
  275.000     1     1     1.0    100  27500 |  100 27501    0.0512    0.0005    0.0005 |
  276.000     1     1     1.0    100  27600 |  100 27601    0.0513    0.0005    0.0005 |
  277.000     1     1     1.0    100  27700 |  100 27701    0.0512    0.0005    0.0005 |
  278.000     1     1     1.0    100  27800 |  100 27801    0.0519    0.0005    0.0005 |
  279.000     1     1     1.0    100  27900 |  100 27901    0.0529    0.0005    0.0005 |
  280.000     1     1     1.0    100  28000 |  100 28001    0.0531    0.0005    0.0005 |
  281.000     1     1     1.0    100  28100 |  100 28101    0.0531    0.0005    0.0005 |
  282.000     1     1     1.0    100  28200 |  100 28201    0.0533    0.0005    0.0005 |
  283.000     1     1     1.0    100  28300 |  100 28301    0.0533    0.0005    0.0005 |
  284.000     1     1     1.0    100  28400 |  100 28401    0.0522    0.0005    0.0005 |
  285.000     1     1     1.0    100  28500 |  100 28501    0.0525    0.0005    0.0005 |
  286.000     1     1     1.0    100  28600 |  100 28601    0.0521    0.0005    0.0005 |
  287.000     1     1     1.0    100  28700 |  100 28701    0.0511    0.0005    0.0005 |
  288.000     1     1     1.0    100  28800 |  100 28801    0.0512    0.0005    0.0005 |
  289.000     1     1     1.0    100  28900 |  100 28901    0.0510    0.0005    0.0005 |
  290.000     1     1     1.0    100  29000 |  100 29001    0.0512    0.0005    0.0005 |
  291.000     1     1     1.0    100  29100 |  100 29101    0.0511    0.0005    0.0005 |
  292.000     1     1     1.0    100  29200 |  100 29201    0.0512    0.0005    0.0005 |
  293.000     1     1     1.0    100  29300 |  100 29301    0.0512    0.0005    0.0005 |
  294.000     1     1     1.0    100  29400 |  100 29401    0.0512    0.0005    0.0005 |
  295.000     1     1     1.0    100  29500 |  100 29501    0.0511    0.0005    0.0005 |
  296.000     1     1     1.0    100  29600 |  100 29601    0.0508    0.0005    0.0005 |
  297.000     1     1     1.0    100  29700 |  100 29701    0.0513    0.0005    0.0005 |
  298.000     1     1     1.0    100  29800 |  100 29801    0.0508    0.0005    0.0005 |
  299.000     1     1     1.0    100  29900 |  100 29901    0.0510    0.0005    0.0005 |
  300.000     1     1     1.0    100  30000 |  100 30001    0.0507    0.0005    0.0005 |
  301.000     1     1     1.0    100  30100 |  100 30101    0.0507    0.0005    0.0005 |
  302.000     1     1     1.0    100  30200 |  100 30201    0.0507    0.0005    0.0005 |
  303.000     1     1     1.0    100  30300 |  100 30301    0.0507    0.0005    0.0005 |
  304.000     1     1     1.0    100  30400 |  100 30401    0.0509    0.0005    0.0005 |
  305.000     1     1     1.0    100  30500 |  100 30501    0.0510    0.0005    0.0005 |
  306.000     1     1     1.0    100  30600 |  100 30601    0.0506    0.0005    0.0005 |
  307.000     1     1     1.0    100  30700 |  100 30701    0.0509    0.0005    0.0005 |
  308.000     1     1     1.0    100  30800 |  100 30801    0.0509    0.0005    0.0005 |
  309.000     1     1     1.0    100  30900 |  100 30901    0.0506    0.0005    0.0005 |
  310.000     1     1     1.0    100  31000 |  100 31001    0.0506    0.0005    0.0005 |
  311.000     1     1     1.0    100  31100 |  100 31101    0.0506    0.0005    0.0005 |
  312.000     1     1     1.0    100  31200 |  100 31201    0.0514    0.0005    0.0005 |
  313.000     1     1     1.0    100  31300 |  100 31301    0.0509    0.0005    0.0005 |
  314.000     1     1     1.0    100  31400 |  100 31401    0.0508    0.0005    0.0005 |
  315.000     1     1     1.0    100  31500 |  100 31501    0.0509    0.0005    0.0005 |
  316.000     1     1     1.0    100  31600 |  100 31601    0.0509    0.0005    0.0005 |
  317.000     1     1     1.0    100  31700 |  100 31701    0.0507    0.0005    0.0005 |
  318.000     1     1     1.0    100  31800 |  100 31801    0.0508    0.0005    0.0005 |
  319.000     1     1     1.0    100  31900 |  100 31901    0.0506    0.0005    0.0005 |
  320.000     1     1     1.0    100  32000 |  100 32001    0.0509    0.0005    0.0005 |
  321.000     1     1     1.0    100  32100 |  100 32101    0.0510    0.0005    0.0005 |
  322.000     1     1     1.0    100  32200 |  100 32201    0.0509    0.0005    0.0005 |
  323.000     1     1     1.0    100  32300 |  100 32301    0.0510    0.0005    0.0005 |
  324.000     1     1     1.0    100  32400 |  100 32401    0.0509    0.0005    0.0005 |
  325.000     1     1     1.0    100  32500 |  100 32501    0.0511    0.0005    0.0005 |
  326.000     1     1     1.0    100  32600 |  100 32601    0.0510    0.0005    0.0005 |
