          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  291.000   100 29101 |    0.0039    1.1033 |
  292.000   100 29201 |    0.0039    1.1072 |
  293.000   100 29301 |    0.0039    1.1112 |
  294.000   100 29401 |    0.0039    1.1150 |
  295.000   100 29501 |    0.0039    1.1189 |
  296.000   100 29601 |    0.0039    1.1228 |
  297.000   100 29701 |    0.0039    1.1267 |
  298.000   100 29801 |    0.0039    1.1306 |
  299.000   100 29901 |    0.0039    1.1345 |
  300.000   100 30001 |    0.0039    1.1384 |
  301.000   100 30101 |    0.0039    1.1422 |
  302.000   100 30201 |    0.0039    1.1461 |
  303.000   100 30301 |    0.0039    1.1500 |
  304.000   100 30401 |    0.0039    1.1539 |
  305.000   100 30501 |    0.0039    1.1578 |
  306.000   100 30601 |    0.0039    1.1616 |
  307.000   100 30701 |    0.0039    1.1655 |
  308.000   100 30801 |    0.0039    1.1694 |
  309.000   100 30901 |    0.0039    1.1733 |
  310.000   100 31001 |    0.0039    1.1772 |
  311.000   100 31101 |    0.0039    1.1810 |
  312.000   100 31201 |    0.0039    1.1850 |
  313.000   100 31301 |    0.0039    1.1889 |
  314.000   100 31401 |    0.0039    1.1928 |
  315.000   100 31501 |    0.0039    1.1967 |
  316.000   100 31601 |    0.0039    1.2005 |
  317.000   100 31701 |    0.0039    1.2044 |
  318.000   100 31801 |    0.0039    1.2083 |
  319.000   100 31901 |    0.0039    1.2122 |
  320.000   100 32001 |    0.0039    1.2160 |
  321.000   100 32101 |    0.0039    1.2199 |
  322.000   100 32201 |    0.0039    1.2238 |
  323.000   100 32301 |    0.0039    1.2277 |
  324.000   100 32401 |    0.0039    1.2316 |
  325.000   100 32501 |    0.0039    1.2355 |
  326.000   100 32601 |    0.0039    1.2394 |
  327.000   100 32701 |    0.0039    1.2433 |
  328.000   100 32801 |    0.0039    1.2472 |
  329.000   100 32901 |    0.0039    1.2511 |
  330.000   100 33001 |    0.0040    1.2552 |
  331.000   100 33101 |    0.0040    1.2591 |
  332.000   100 33201 |    0.0039    1.2630 |
  333.000   100 33301 |    0.0039    1.2669 |
  334.000   100 33401 |    0.0039    1.2708 |
  335.000   100 33501 |    0.0039    1.2747 |
  336.000   100 33601 |    0.0039    1.2786 |
  337.000   100 33701 |    0.0039    1.2825 |
  338.000   100 33801 |    0.0039    1.2864 |
  339.000   100 33901 |    0.0039    1.2902 |
  340.000   100 34001 |    0.0039    1.2941 |
  341.000   100 34101 |    0.0039    1.2980 |
  342.000   100 34201 |    0.0039    1.3019 |
  343.000   100 34301 |    0.0039    1.3058 |
  344.000   100 34401 |    0.0039    1.3097 |
  345.000   100 34501 |    0.0039    1.3136 |
  346.000   100 34601 |    0.0039    1.3175 |
  347.000   100 34701 |    0.0039    1.3214 |
  348.000   100 34801 |    0.0039    1.3253 |
  349.000   100 34901 |    0.0039    1.3291 |
  350.000   100 35001 |    0.0039    1.3330 |
  351.000   100 35101 |    0.0039    1.3369 |
  352.000   100 35201 |    0.0039    1.3408 |
  353.000   100 35301 |    0.0039    1.3447 |
  354.000   100 35401 |    0.0039    1.3485 |
  355.000   100 35501 |    0.0039    1.3524 |
  356.000   100 35601 |    0.0038    1.3562 |
  357.000   100 35701 |    0.0039    1.3601 |
  358.000   100 35801 |    0.0039    1.3640 |
  359.000   100 35901 |    0.0039    1.3679 |
  360.000   100 36001 |    0.0039    1.3718 |
  361.000   100 36101 |    0.0039    1.3757 |
  362.000   100 36201 |    0.0039    1.3795 |
  363.000   100 36301 |    0.0039    1.3834 |
  364.000   100 36401 |    0.0039    1.3873 |
  365.000   100 36501 |    0.0039    1.3912 |
  366.000   100 36601 |    0.0039    1.3951 |
  367.000   100 36701 |    0.0039    1.3989 |
  368.000   100 36801 |    0.0039    1.4028 |
  369.000   100 36901 |    0.0039    1.4067 |
  370.000   100 37001 |    0.0039    1.4107 |
  371.000   100 37101 |    0.0039    1.4145 |
  372.000   100 37201 |    0.0038    1.4184 |
  373.000   100 37301 |    0.0039    1.4223 |
  374.000   100 37401 |    0.0039    1.4262 |
  375.000   100 37501 |    0.0039    1.4300 |
  376.000   100 37601 |    0.0039    1.4339 |
  377.000   100 37701 |    0.0039    1.4378 |
  378.000   100 37801 |    0.0039    1.4417 |
  379.000   100 37901 |    0.0039    1.4456 |
  380.000   100 38001 |    0.0039    1.4495 |
  381.000   100 38101 |    0.0039    1.4534 |
  382.000   100 38201 |    0.0039    1.4573 |
  383.000   100 38301 |    0.0039    1.4612 |
  384.000   100 38401 |    0.0039    1.4650 |
  385.000   100 38501 |    0.0039    1.4689 |
  386.000   100 38601 |    0.0039    1.4728 |
  387.000   100 38701 |    0.0039    1.4767 |
  388.000   100 38801 |    0.0039    1.4806 |
  389.000   100 38901 |    0.0039    1.4844 |
  390.000   100 39001 |    0.0039    1.4883 |
  391.000   100 39101 |    0.0039    1.4922 |
  392.000   100 39201 |    0.0039    1.4961 |
  393.000   100 39301 |    0.0039    1.4999 |
  394.000   100 39401 |    0.0039    1.5038 |
  395.000   100 39501 |    0.0039    1.5077 |
  396.000   100 39601 |    0.0039    1.5115 |
  397.000   100 39701 |    0.0039    1.5154 |
  398.000   100 39801 |    0.0039    1.5193 |
  399.000   100 39901 |    0.0039    1.5231 |
  400.000   100 40001 |    0.0039    1.5270 |
  401.000   100 40101 |    0.0039    1.5309 |
  402.000   100 40201 |    0.0040    1.5349 |
  403.000   100 40301 |    0.0039    1.5388 |
  404.000   100 40401 |    0.0039    1.5427 |
  405.000   100 40501 |    0.0039    1.5466 |
  406.000   100 40601 |    0.0039    1.5505 |
  407.000   100 40701 |    0.0039    1.5543 |
  408.000   100 40801 |    0.0039    1.5582 |
  409.000   100 40901 |    0.0039    1.5621 |
  410.000   100 41001 |    0.0039    1.5660 |
  411.000   100 41101 |    0.0039    1.5699 |
  412.000   100 41201 |    0.0039    1.5738 |
  413.000   100 41301 |    0.0039    1.5777 |
  414.000   100 41401 |    0.0039    1.5816 |
  415.000   100 41501 |    0.0039    1.5854 |
  416.000   100 41601 |    0.0039    1.5893 |
  417.000   100 41701 |    0.0039    1.5932 |
  418.000   100 41801 |    0.0039    1.5971 |
  419.000   100 41901 |    0.0039    1.6010 |
  420.000   100 42001 |    0.0039    1.6049 |
  421.000   100 42101 |    0.0039    1.6088 |
  422.000   100 42201 |    0.0039    1.6126 |
  423.000   100 42301 |    0.0039    1.6165 |
  424.000   100 42401 |    0.0039    1.6204 |
  425.000   100 42501 |    0.0039    1.6243 |
  426.000   100 42601 |    0.0039    1.6281 |
  427.000   100 42701 |    0.0039    1.6320 |
  428.000   100 42801 |    0.0039    1.6359 |
  429.000   100 42901 |    0.0039    1.6398 |
  430.000   100 43001 |    0.0039    1.6436 |
  431.000   100 43101 |    0.0039    1.6475 |
  432.000   100 43201 |    0.0039    1.6514 |
  433.000   100 43301 |    0.0039    1.6553 |
  434.000   100 43401 |    0.0039    1.6592 |
  435.000   100 43501 |    0.0039    1.6631 |
  436.000   100 43601 |    0.0039    1.6669 |
  437.000   100 43701 |    0.0039    1.6708 |
  438.000   100 43801 |    0.0039    1.6747 |
  439.000   100 43901 |    0.0039    1.6786 |
  440.000   100 44001 |    0.0039    1.6825 |
  441.000   100 44101 |    0.0039    1.6863 |
  442.000   100 44201 |    0.0039    1.6902 |
  443.000   100 44301 |    0.0039    1.6941 |
  444.000   100 44401 |    0.0039    1.6980 |
  445.000   100 44501 |    0.0039    1.7019 |
  446.000   100 44601 |    0.0039    1.7057 |
  447.000   100 44701 |    0.0039    1.7096 |
  448.000   100 44801 |    0.0039    1.7135 |
  449.000   100 44901 |    0.0039    1.7174 |
  450.000   100 45001 |    0.0039    1.7213 |
  451.000   100 45101 |    0.0039    1.7252 |
  452.000   100 45201 |    0.0039    1.7291 |
  453.000   100 45301 |    0.0040    1.7330 |
  454.000   100 45401 |    0.0039    1.7369 |
  455.000   100 45501 |    0.0039    1.7408 |
  456.000   100 45601 |    0.0039    1.7447 |
  457.000   100 45701 |    0.0039    1.7486 |
  458.000   100 45801 |    0.0039    1.7525 |
  459.000   100 45901 |    0.0039    1.7563 |
  460.000   100 46001 |    0.0039    1.7602 |
  461.000   100 46101 |    0.0039    1.7641 |
  462.000   100 46201 |    0.0039    1.7680 |
  463.000   100 46301 |    0.0039    1.7719 |
  464.000   100 46401 |    0.0039    1.7758 |
  465.000   100 46501 |    0.0039    1.7796 |
  466.000   100 46601 |    0.0039    1.7835 |
  467.000   100 46701 |    0.0039    1.7874 |
  468.000   100 46801 |    0.0039    1.7913 |
  469.000   100 46901 |    0.0039    1.7951 |
  470.000   100 47001 |    0.0039    1.7990 |
  471.000   100 47101 |    0.0039    1.8029 |
  472.000   100 47201 |    0.0039    1.8067 |
  473.000   100 47301 |    0.0039    1.8106 |
  474.000   100 47401 |    0.0039    1.8145 |
  475.000   100 47501 |    0.0039    1.8184 |
  476.000   100 47601 |    0.0039    1.8222 |
  477.000   100 47701 |    0.0039    1.8261 |
  478.000   100 47801 |    0.0039    1.8299 |
  479.000   100 47901 |    0.0039    1.8338 |
  480.000   100 48001 |    0.0039    1.8377 |
  481.000   100 48101 |    0.0039    1.8416 |
  482.000   100 48201 |    0.0039    1.8455 |
  483.000   100 48301 |    0.0039    1.8494 |
  484.000   100 48401 |    0.0039    1.8533 |
  485.000   100 48501 |    0.0039    1.8572 |
  486.000   100 48601 |    0.0039    1.8611 |
  487.000   100 48701 |    0.0039    1.8650 |
  488.000   100 48801 |    0.0039    1.8689 |
  489.000   100 48901 |    0.0039    1.8728 |
  490.000   100 49001 |    0.0039    1.8767 |
  491.000   100 49101 |    0.0039    1.8806 |
  492.000   100 49201 |    0.0039    1.8845 |
  493.000   100 49301 |    0.0039    1.8884 |
  494.000   100 49401 |    0.0039    1.8922 |
  495.000   100 49501 |    0.0039    1.8961 |
  496.000   100 49601 |    0.0039    1.9000 |
  497.000   100 49701 |    0.0039    1.9039 |
  498.000   100 49801 |    0.0039    1.9078 |
  499.000   100 49901 |    0.0041    1.9120 |
  500.000   100 50001 |    0.0042    1.9162 |
  501.000   100 50101 |    0.0041    1.9203 |
  502.000   100 50201 |    0.0041    1.9244 |
  503.000   100 50301 |    0.0041    1.9284 |
  504.000   100 50401 |    0.0040    1.9324 |
  505.000   100 50501 |    0.0040    1.9364 |
  506.000   100 50601 |    0.0041    1.9405 |
  507.000   100 50701 |    0.0041    1.9446 |
  508.000   100 50801 |    0.0040    1.9486 |
  509.000   100 50901 |    0.0039    1.9525 |
  510.000   100 51001 |    0.0039    1.9564 |
  511.000   100 51101 |    0.0041    1.9604 |
  512.000   100 51201 |    0.0039    1.9643 |
  513.000   100 51301 |    0.0039    1.9682 |
  514.000   100 51401 |    0.0039    1.9720 |
  515.000   100 51501 |    0.0039    1.9759 |
  516.000   100 51601 |    0.0039    1.9798 |
  517.000   100 51701 |    0.0039    1.9837 |
  518.000   100 51801 |    0.0038    1.9875 |
  519.000   100 51901 |    0.0040    1.9915 |
  520.000   100 52001 |    0.0041    1.9956 |
  521.000   100 52101 |    0.0041    1.9997 |
  522.000   100 52201 |    0.0041    2.0038 |
  523.000   100 52301 |    0.0041    2.0079 |
  524.000   100 52401 |    0.0045    2.0124 |
  525.000   100 52501 |    0.0040    2.0164 |
  526.000   100 52601 |    0.0041    2.0205 |
  527.000   100 52701 |    0.0040    2.0245 |
  528.000   100 52801 |    0.0039    2.0284 |
  529.000   100 52901 |    0.0039    2.0323 |
  530.000   100 53001 |    0.0039    2.0362 |
  531.000   100 53101 |    0.0039    2.0400 |
  532.000   100 53201 |    0.0039    2.0439 |
  533.000   100 53301 |    0.0039    2.0478 |
  534.000   100 53401 |    0.0039    2.0517 |
  535.000   100 53501 |    0.0039    2.0555 |
  536.000   100 53601 |    0.0039    2.0594 |
  537.000   100 53701 |    0.0039    2.0633 |
  538.000   100 53801 |    0.0039    2.0671 |
  539.000   100 53901 |    0.0039    2.0710 |
  540.000   100 54001 |    0.0039    2.0749 |
  541.000   100 54101 |    0.0039    2.0788 |
  542.000   100 54201 |    0.0039    2.0827 |
  543.000   100 54301 |    0.0039    2.0865 |
  544.000   100 54401 |    0.0039    2.0904 |
  545.000   100 54501 |    0.0039    2.0943 |
  546.000   100 54601 |    0.0039    2.0982 |
  547.000   100 54701 |    0.0039    2.1021 |
  548.000   100 54801 |    0.0039    2.1060 |
  549.000   100 54901 |    0.0039    2.1099 |
  550.000   100 55001 |    0.0039    2.1138 |
  551.000   100 55101 |    0.0039    2.1176 |
  552.000   100 55201 |    0.0039    2.1215 |
  553.000   100 55301 |    0.0039    2.1254 |
  554.000   100 55401 |    0.0039    2.1292 |
  555.000   100 55501 |    0.0039    2.1331 |
  556.000   100 55601 |    0.0039    2.1369 |
  557.000   100 55701 |    0.0039    2.1408 |
  558.000   100 55801 |    0.0039    2.1447 |
  559.000   100 55901 |    0.0039    2.1486 |
  560.000   100 56001 |    0.0039    2.1524 |
  561.000   100 56101 |    0.0039    2.1563 |
  562.000   100 56201 |    0.0039    2.1602 |
  563.000   100 56301 |    0.0039    2.1641 |
  564.000   100 56401 |    0.0039    2.1679 |
  565.000   100 56501 |    0.0039    2.1718 |
  566.000   100 56601 |    0.0039    2.1757 |
  567.000   100 56701 |    0.0039    2.1796 |
  568.000   100 56801 |    0.0039    2.1834 |
  569.000   100 56901 |    0.0039    2.1873 |
  570.000   100 57001 |    0.0039    2.1912 |
  571.000   100 57101 |    0.0039    2.1951 |
  572.000   100 57201 |    0.0039    2.1989 |
  573.000   100 57301 |    0.0039    2.2028 |
  574.000   100 57401 |    0.0039    2.2067 |
  575.000   100 57501 |    0.0039    2.2105 |
  576.000   100 57601 |    0.0039    2.2145 |
  577.000   100 57701 |    0.0039    2.2183 |
