          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
  191.000     1     1     1.0   1000 191000 | 1000 191001    0.5087    0.0005    0.0005 |
  192.000     1     1     1.0   1000 192000 | 1000 192001    0.5190    0.0005    0.0005 |
  193.000     1     1     1.0   1000 193000 | 1000 193001    0.5091    0.0005    0.0005 |
  194.000     1     1     1.0   1000 194000 | 1000 194001    0.5083    0.0005    0.0005 |
  195.000     1     1     1.0   1000 195000 | 1000 195001    0.5083    0.0005    0.0005 |
  196.000     1     1     1.0   1000 196000 | 1000 196001    0.5082    0.0005    0.0005 |
  197.000     1     1     1.0   1000 197000 | 1000 197001    0.5078    0.0005    0.0005 |
  198.000     1     1     1.0   1000 198000 | 1000 198001    0.5076    0.0005    0.0005 |
  199.000     1     1     1.0   1000 199000 | 1000 199001    0.5078    0.0005    0.0005 |
  200.000     1     1     1.0   1000 200000 | 1000 200001    0.5082    0.0005    0.0005 |
  201.000     1     1     1.0   1000 201000 | 1000 201001    0.5181    0.0005    0.0005 |
  202.000     1     1     1.0   1000 202000 | 1000 202001    0.5305    0.0005    0.0005 |
  203.000     1     1     1.0   1000 203000 | 1000 203001    0.5079    0.0005    0.0005 |
  204.000     1     1     1.0   1000 204000 | 1000 204001    0.5111    0.0005    0.0005 |
  205.000     1     1     1.0   1000 205000 | 1000 205001    0.5087    0.0005    0.0005 |
  206.000     1     1     1.0   1000 206000 | 1000 206001    0.5085    0.0005    0.0005 |
  207.000     1     1     1.0   1000 207000 | 1000 207001    0.5115    0.0005    0.0005 |
  208.000     1     1     1.0   1000 208000 | 1000 208001    0.5135    0.0005    0.0005 |
  209.000     1     1     1.0   1000 209000 | 1000 209001    0.5104    0.0005    0.0005 |
  210.000     1     1     1.0   1000 210000 | 1000 210001    0.5095    0.0005    0.0005 |
  211.000     1     1     1.0   1000 211000 | 1000 211001    0.5094    0.0005    0.0005 |
  212.000     1     1     1.0   1000 212000 | 1000 212001    0.5085    0.0005    0.0005 |
  213.000     1     1     1.0   1000 213000 | 1000 213001    0.5088    0.0005    0.0005 |
  214.000     1     1     1.0   1000 214000 | 1000 214001    0.5094    0.0005    0.0005 |
  215.000     1     1     1.0   1000 215000 | 1000 215001    0.5098    0.0005    0.0005 |
  216.000     1     1     1.0   1000 216000 | 1000 216001    0.5091    0.0005    0.0005 |
  217.000     1     1     1.0   1000 217000 | 1000 217001    0.5097    0.0005    0.0005 |
  218.000     1     1     1.0   1000 218000 | 1000 218001    0.5086    0.0005    0.0005 |
  219.000     1     1     1.0   1000 219000 | 1000 219001    0.5095    0.0005    0.0005 |
  220.000     1     1     1.0   1000 220000 | 1000 220001    0.5096    0.0005    0.0005 |
  221.000     1     1     1.0   1000 221000 | 1000 221001    0.5103    0.0005    0.0005 |
  222.000     1     1     1.0   1000 222000 | 1000 222001    0.5090    0.0005    0.0005 |
  223.000     1     1     1.0   1000 223000 | 1000 223001    0.5095    0.0005    0.0005 |
  224.000     1     1     1.0   1000 224000 | 1000 224001    0.5090    0.0005    0.0005 |
  225.000     1     1     1.0   1000 225000 | 1000 225001    0.5099    0.0005    0.0005 |
  226.000     1     1     1.0   1000 226000 | 1000 226001    0.5098    0.0005    0.0005 |
  227.000     1     1     1.0   1000 227000 | 1000 227001    0.5092    0.0005    0.0005 |
  228.000     1     1     1.0   1000 228000 | 1000 228001    0.5095    0.0005    0.0005 |
  229.000     1     1     1.0   1000 229000 | 1000 229001    0.5094    0.0005    0.0005 |
  230.000     1     1     1.0   1000 230000 | 1000 230001    0.5091    0.0005    0.0005 |
  231.000     1     1     1.0   1000 231000 | 1000 231001    0.5105    0.0005    0.0005 |
  232.000     1     1     1.0   1000 232000 | 1000 232001    0.5121    0.0005    0.0005 |
  233.000     1     1     1.0   1000 233000 | 1000 233001    0.5096    0.0005    0.0005 |
  234.000     1     1     1.0   1000 234000 | 1000 234001    0.5098    0.0005    0.0005 |
  235.000     1     1     1.0   1000 235000 | 1000 235001    0.5099    0.0005    0.0005 |
  236.000     1     1     1.0   1000 236000 | 1000 236001    0.5088    0.0005    0.0005 |
  237.000     1     1     1.0   1000 237000 | 1000 237001    0.5100    0.0005    0.0005 |
  238.000     1     1     1.0   1000 238000 | 1000 238001    0.5098    0.0005    0.0005 |
  239.000     1     1     1.0   1000 239000 | 1000 239001    0.5088    0.0005    0.0005 |
  240.000     1     1     1.0   1000 240000 | 1000 240001    0.5096    0.0005    0.0005 |
  241.000     1     1     1.0   1000 241000 | 1000 241001    0.5088    0.0005    0.0005 |
  242.000     1     1     1.0   1000 242000 | 1000 242001    0.5088    0.0005    0.0005 |
  243.000     1     1     1.0   1000 243000 | 1000 243001    0.5099    0.0005    0.0005 |
  244.000     1     1     1.0   1000 244000 | 1000 244001    0.5099    0.0005    0.0005 |
  245.000     1     1     1.0   1000 245000 | 1000 245001    0.5087    0.0005    0.0005 |
  246.000     1     1     1.0   1000 246000 | 1000 246001    0.5093    0.0005    0.0005 |
  247.000     1     1     1.0   1000 247000 | 1000 247001    0.5091    0.0005    0.0005 |
  248.000     1     1     1.0   1000 248000 | 1000 248001    0.5087    0.0005    0.0005 |
  249.000     1     1     1.0   1000 249000 | 1000 249001    0.5093    0.0005    0.0005 |
  250.000     1     1     1.0   1000 250000 | 1000 250001    0.5103    0.0005    0.0005 |
  251.000     1     1     1.0   1000 251000 | 1000 251001    0.5118    0.0005    0.0005 |
  252.000     1     1     1.0   1000 252000 | 1000 252001    0.5111    0.0005    0.0005 |
  253.000     1     1     1.0   1000 253000 | 1000 253001    0.5099    0.0005    0.0005 |
  254.000     1     1     1.0   1000 254000 | 1000 254001    0.5095    0.0005    0.0005 |
  255.000     1     1     1.0   1000 255000 | 1000 255001    0.5091    0.0005    0.0005 |
  256.000     1     1     1.0   1000 256000 | 1000 256001    0.5087    0.0005    0.0005 |
  257.000     1     1     1.0   1000 257000 | 1000 257001    0.5093    0.0005    0.0005 |
  258.000     1     1     1.0   1000 258000 | 1000 258001    0.5080    0.0005    0.0005 |
  259.000     1     1     1.0   1000 259000 | 1000 259001    0.5078    0.0005    0.0005 |
  260.000     1     1     1.0   1000 260000 | 1000 260001    0.5086    0.0005    0.0005 |
  261.000     1     1     1.0   1000 261000 | 1000 261001    0.5080    0.0005    0.0005 |
  262.000     1     1     1.0   1000 262000 | 1000 262001    0.5089    0.0005    0.0005 |
  263.000     1     1     1.0   1000 263000 | 1000 263001    0.5092    0.0005    0.0005 |
  264.000     1     1     1.0   1000 264000 | 1000 264001    0.5091    0.0005    0.0005 |
  265.000     1     1     1.0   1000 265000 | 1000 265001    0.5186    0.0005    0.0005 |
  266.000     1     1     1.0   1000 266000 | 1000 266001    0.5108    0.0005    0.0005 |
  267.000     1     1     1.0   1000 267000 | 1000 267001    0.5161    0.0005    0.0005 |
  268.000     1     1     1.0   1000 268000 | 1000 268001    0.5173    0.0005    0.0005 |
  269.000     1     1     1.0   1000 269000 | 1000 269001    0.5107    0.0005    0.0005 |
  270.000     1     1     1.0   1000 270000 | 1000 270001    0.5207    0.0005    0.0005 |
  271.000     1     1     1.0   1000 271000 | 1000 271001    0.5103    0.0005    0.0005 |
  272.000     1     1     1.0   1000 272000 | 1000 272001    0.5092    0.0005    0.0005 |
  273.000     1     1     1.0   1000 273000 | 1000 273001    0.5090    0.0005    0.0005 |
  274.000     1     1     1.0   1000 274000 | 1000 274001    0.5097    0.0005    0.0005 |
  275.000     1     1     1.0   1000 275000 | 1000 275001    0.5088    0.0005    0.0005 |
  276.000     1     1     1.0   1000 276000 | 1000 276001    0.5094    0.0005    0.0005 |
  277.000     1     1     1.0   1000 277000 | 1000 277001    0.5091    0.0005    0.0005 |
  278.000     1     1     1.0   1000 278000 | 1000 278001    0.5094    0.0005    0.0005 |
  279.000     1     1     1.0   1000 279000 | 1000 279001    0.5096    0.0005    0.0005 |
  280.000     1     1     1.0   1000 280000 | 1000 280001    0.5132    0.0005    0.0005 |
  281.000     1     1     1.0   1000 281000 | 1000 281001    0.5087    0.0005    0.0005 |
  282.000     1     1     1.0   1000 282000 | 1000 282001    0.5095    0.0005    0.0005 |
  283.000     1     1     1.0   1000 283000 | 1000 283001    0.5096    0.0005    0.0005 |
  284.000     1     1     1.0   1000 284000 | 1000 284001    0.5087    0.0005    0.0005 |
  285.000     1     1     1.0   1000 285000 | 1000 285001    0.5091    0.0005    0.0005 |
  286.000     1     1     1.0   1000 286000 | 1000 286001    0.5088    0.0005    0.0005 |
  287.000     1     1     1.0   1000 287000 | 1000 287001    0.5092    0.0005    0.0005 |
  288.000     1     1     1.0   1000 288000 | 1000 288001    0.5089    0.0005    0.0005 |
  289.000     1     1     1.0   1000 289000 | 1000 289001    0.5086    0.0005    0.0005 |
  290.000     1     1     1.0   1000 290000 | 1000 290001    0.5093    0.0005    0.0005 |
  291.000     1     1     1.0   1000 291000 | 1000 291001    0.5096    0.0005    0.0005 |
  292.000     1     1     1.0   1000 292000 | 1000 292001    0.5086    0.0005    0.0005 |
  293.000     1     1     1.0   1000 293000 | 1000 293001    0.5087    0.0005    0.0005 |
  294.000     1     1     1.0   1000 294000 | 1000 294001    0.5090    0.0005    0.0005 |
  295.000     1     1     1.0   1000 295000 | 1000 295001    0.5087    0.0005    0.0005 |
  296.000     1     1     1.0   1000 296000 | 1000 296001    0.5096    0.0005    0.0005 |
  297.000     1     1     1.0   1000 297000 | 1000 297001    0.5104    0.0005    0.0005 |
  298.000     1     1     1.0   1000 298000 | 1000 298001    0.5121    0.0005    0.0005 |
  299.000     1     1     1.0   1000 299000 | 1000 299001    0.5089    0.0005    0.0005 |
  300.000     1     1     1.0   1000 300000 | 1000 300001    0.5091    0.0005    0.0005 |
  301.000     1     1     1.0   1000 301000 | 1000 301001    0.5096    0.0005    0.0005 |
  302.000     1     1     1.0   1000 302000 | 1000 302001    0.5099    0.0005    0.0005 |
  303.000     1     1     1.0   1000 303000 | 1000 303001    0.5110    0.0005    0.0005 |
  304.000     1     1     1.0   1000 304000 | 1000 304001    0.5102    0.0005    0.0005 |
  305.000     1     1     1.0   1000 305000 | 1000 305001    0.5091    0.0005    0.0005 |
  306.000     1     1     1.0   1000 306000 | 1000 306001    0.5095    0.0005    0.0005 |
  307.000     1     1     1.0   1000 307000 | 1000 307001    0.5241    0.0005    0.0005 |
  308.000     1     1     1.0   1000 308000 | 1000 308001    0.5093    0.0005    0.0005 |
  309.000     1     1     1.0   1000 309000 | 1000 309001    0.5092    0.0005    0.0005 |
  310.000     1     1     1.0   1000 310000 | 1000 310001    0.5092    0.0005    0.0005 |
